Notes,State,State Code,Year,Year Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,Arizona,4,2004,2004,Drug-induced causes,D,803,5652404,14.2
Total,Arizona,4,2004,2004,,,803,5652404,14.2
,Arizona,4,2005,2005,Drug-induced causes,D,849,5839077,14.5
Total,Arizona,4,2005,2005,,,849,5839077,14.5
,Arizona,4,2006,2006,Drug-induced causes,D,959,6029141,15.9
Total,Arizona,4,2006,2006,,,959,6029141,15.9
,Arizona,4,2007,2007,Drug-induced causes,D,981,6167681,15.9
Total,Arizona,4,2007,2007,,,981,6167681,15.9
,Arizona,4,2008,2008,Drug-induced causes,D,853,6280362,13.6
Total,Arizona,4,2008,2008,,,853,6280362,13.6
,Arizona,4,2009,2009,Drug-induced causes,D,1041,6343154,16.4
Total,Arizona,4,2009,2009,,,1041,6343154,16.4
,Arizona,4,2010,2010,Drug-induced causes,D,1141,6392017,17.9
Total,Arizona,4,2010,2010,,,1141,6392017,17.9
,Arizona,4,2011,2011,Drug-induced causes,D,1118,6482505,17.2
Total,Arizona,4,2011,2011,,,1118,6482505,17.2
,Arizona,4,2012,2012,Drug-induced causes,D,1206,6553255,18.4
Total,Arizona,4,2012,2012,,,1206,6553255,18.4
,Arizona,4,2013,2013,Drug-induced causes,D,1304,6626624,19.7
Total,Arizona,4,2013,2013,,,1304,6626624,19.7
,Arizona,4,2014,2014,Drug-induced causes,D,1274,6731484,18.9
Total,Arizona,4,2014,2014,,,1274,6731484,18.9
,Arizona,4,2015,2015,Drug-induced causes,D,1351,6828065,19.8
Total,Arizona,4,2015,2015,,,1351,6828065,19.8
,Arizona,4,2016,2016,Drug-induced causes,D,1500,6931071,21.6
Total,Arizona,4,2016,2016,,,1500,6931071,21.6
,Arizona,4,2017,2017,Drug-induced causes,D,1628,7016270,23.2
Total,Arizona,4,2017,2017,,,1628,7016270,23.2
,Arizona,4,2018,2018,Drug-induced causes,D,1784,7171646,24.9
Total,Arizona,4,2018,2018,,,1784,7171646,24.9
,Arizona,4,2019,2019,Drug-induced causes,D,2016,7278717,27.7
Total,Arizona,4,2019,2019,,,2016,7278717,27.7
,Arizona,4,2020,2020,Drug-induced causes,D,2675,7421401,36
Total,Arizona,4,2020,2020,,,2675,7421401,36
Total,Arizona,4,,,,,25603,138079425,18.5
,Arkansas,5,1999,1999,Drug-induced causes,D,121,2651860,4.6
Total,Arkansas,5,1999,1999,,,121,2651860,4.6
,Arkansas,5,2000,2000,Drug-induced causes,D,151,2673400,5.6
Total,Arkansas,5,2000,2000,,,151,2673400,5.6
,Arkansas,5,2001,2001,Drug-induced causes,D,131,2691571,4.9
Total,Arkansas,5,2001,2001,,,131,2691571,4.9
,Arkansas,5,2002,2002,Drug-induced causes,D,190,2705927,7
Total,Arkansas,5,2002,2002,,,190,2705927,7
,Arkansas,5,2003,2003,Drug-induced causes,D,203,2724816,7.5
Total,Arkansas,5,2003,2003,,,203,2724816,7.5
,Arkansas,5,2004,2004,Drug-induced causes,D,249,2749686,9.1
Total,Arkansas,5,2004,2004,,,249,2749686,9.1
,Arkansas,5,2005,2005,Drug-induced causes,D,286,2781097,10.3
Total,Arkansas,5,2005,2005,,,286,2781097,10.3
,Arkansas,5,2006,2006,Drug-induced causes,D,307,2821761,10.9
Total,Arkansas,5,2006,2006,,,307,2821761,10.9
,Arkansas,5,2007,2007,Drug-induced causes,D,326,2848650,11.4
Total,Arkansas,5,2007,2007,,,326,2848650,11.4
,Arkansas,5,2008,2008,Drug-induced causes,D,390,2874554,13.6
Total,Arkansas,5,2008,2008,,,390,2874554,13.6
,Arkansas,5,2009,2009,Drug-induced causes,D,384,2896843,13.3
Total,Arkansas,5,2009,2009,,,384,2896843,13.3
,Arkansas,5,2010,2010,Drug-induced causes,D,374,2915918,12.8
Total,Arkansas,5,2010,2010,,,374,2915918,12.8
,Arkansas,5,2011,2011,Drug-induced causes,D,375,2937979,12.8
Total,Arkansas,5,2011,2011,,,375,2937979,12.8
,Arkansas,5,2012,2012,Drug-induced causes,D,398,2949131,13.5
Total,Arkansas,5,2012,2012,,,398,2949131,13.5
,Arkansas,5,2013,2013,Drug-induced causes,D,343,2959373,11.6
Total,Arkansas,5,2013,2013,,,343,2959373,11.6
,Arkansas,5,2014,2014,Drug-induced causes,D,377,2966369,12.7
Total,Arkansas,5,2014,2014,,,377,2966369,12.7
,Arkansas,5,2015,2015,Drug-induced causes,D,425,2978204,14.3
Total,Arkansas,5,2015,2015,,,425,2978204,14.3
,Arkansas,5,2016,2016,Drug-induced causes,D,423,2988248,14.2
Total,Arkansas,5,2016,2016,,,423,2988248,14.2
,Arkansas,5,2017,2017,Drug-induced causes,D,481,3004279,16
Total,Arkansas,5,2017,2017,,,481,3004279,16
,Arkansas,5,2018,2018,Drug-induced causes,D,475,3013825,15.8
Total,Arkansas,5,2018,2018,,,475,3013825,15.8
,Arkansas,5,2019,2019,Drug-induced causes,D,404,3017804,13.4
Total,Arkansas,5,2019,2019,,,404,3017804,13.4
,Arkansas,5,2020,2020,Drug-induced causes,D,585,3030522,19.3
Total,Arkansas,5,2020,2020,,,585,3030522,19.3
Total,Arkansas,5,,,,,7398,63181817,11.7
,California,6,1999,1999,Drug-induced causes,D,3091,33499204,9.2
Total,California,6,1999,1999,,,3091,33499204,9.2
,California,6,2000,2000,Drug-induced causes,D,2301,33871648,6.8
Total,California,6,2000,2000,,,2301,33871648,6.8
,California,6,2001,2001,Drug-induced causes,D,1507,34479458,4.4
Total,California,6,2001,2001,,,1507,34479458,4.4
,California,6,2002,2002,Drug-induced causes,D,3418,34871843,9.8
Total,California,6,2002,2002,,,3418,34871843,9.8
,California,6,2003,2003,Drug-induced causes,D,3614,35253159,10.3
Total,California,6,2003,2003,,,3614,35253159,10.3
,California,6,2004,2004,Drug-induced causes,D,3681,35574576,10.3
Total,California,6,2004,2004,,,3681,35574576,10.3
,California,6,2005,2005,Drug-induced causes,D,3821,35827943,10.7
Total,California,6,2005,2005,,,3821,35827943,10.7
,California,6,2006,2006,Drug-induced causes,D,4026,36021202,11.2
Total,California,6,2006,2006,,,4026,36021202,11.2
,California,6,2007,2007,Drug-induced causes,D,4178,36250311,11.5
Total,California,6,2007,2007,,,4178,36250311,11.5
,California,6,2008,2008,Drug-induced causes,D,4147,36604337,11.3
Total,California,6,2008,2008,,,4147,36604337,11.3
,California,6,2009,2009,Drug-induced causes,D,4290,36961229,11.6
Total,California,6,2009,2009,,,4290,36961229,11.6
,California,6,2010,2010,Drug-induced causes,D,4258,37253956,11.4
Total,California,6,2010,2010,,,4258,37253956,11.4
,California,6,2011,2011,Drug-induced causes,D,4429,37691912,11.8
Total,California,6,2011,2011,,,4429,37691912,11.8
,California,6,2012,2012,Drug-induced causes,D,4304,38041430,11.3
Total,California,6,2012,2012,,,4304,38041430,11.3
,California,6,2013,2013,Drug-induced causes,D,4747,38332521,12.4
Total,California,6,2013,2013,,,4747,38332521,12.4
,California,6,2014,2014,Drug-induced causes,D,4816,38802500,12.4
Total,California,6,2014,2014,,,4816,38802500,12.4
,California,6,2015,2015,Drug-induced causes,D,5025,39144818,12.8
Total,California,6,2015,2015,,,5025,39144818,12.8
,California,6,2016,2016,Drug-induced causes,D,5094,39250017,13
Total,California,6,2016,2016,,,5094,39250017,13
,California,6,2017,2017,Drug-induced causes,D,5302,39536653,13.4
Total,California,6,2017,2017,,,5302,39536653,13.4
,California,6,2018,2018,Drug-induced causes,D,5771,39557045,14.6
Total,California,6,2018,2018,,,5771,39557045,14.6
,California,6,2019,2019,Drug-induced causes,D,6668,39512223,16.9
Total,California,6,2019,2019,,,6668,39512223,16.9
,California,6,2020,2020,Drug-induced causes,D,9452,39368078,24
Total,California,6,2020,2020,,,9452,39368078,24
Total,California,6,,,,,97940,815706063,12
,Colorado,8,1999,1999,Drug-induced causes,D,375,4226018,8.9
Total,Colorado,8,1999,1999,,,375,4226018,8.9
,Colorado,8,2000,2000,Drug-induced causes,D,372,4301261,8.6
Total,Colorado,8,2000,2000,,,372,4301261,8.6
,Colorado,8,2001,2001,Drug-induced causes,D,444,4425687,10
Total,Colorado,8,2001,2001,,,444,4425687,10
,Colorado,8,2002,2002,Drug-induced causes,D,474,4490406,10.6
Total,Colorado,8,2002,2002,,,474,4490406,10.6
,Colorado,8,2003,2003,Drug-induced causes,D,529,4528732,11.7
Total,Colorado,8,2003,2003,,,529,4528732,11.7
,Colorado,8,2004,2004,Drug-induced causes,D,548,4575013,12
Total,Colorado,8,2004,2004,,,548,4575013,12
,Colorado,8,2005,2005,Drug-induced causes,D,640,4631888,13.8
Total,Colorado,8,2005,2005,,,640,4631888,13.8
,Colorado,8,2006,2006,Drug-induced causes,D,660,4720423,14
Total,Colorado,8,2006,2006,,,660,4720423,14
,Colorado,8,2007,2007,Drug-induced causes,D,747,4803868,15.5
Total,Colorado,8,2007,2007,,,747,4803868,15.5
,Colorado,8,2008,2008,Drug-induced causes,D,760,4889730,15.5
Total,Colorado,8,2008,2008,,,760,4889730,15.5
,Colorado,8,2009,2009,Drug-induced causes,D,784,4972195,15.8
Total,Colorado,8,2009,2009,,,784,4972195,15.8
,Colorado,8,2010,2010,Drug-induced causes,D,676,5029196,13.4
Total,Colorado,8,2010,2010,,,676,5029196,13.4
,Colorado,8,2011,2011,Drug-induced causes,D,852,5116796,16.7
Total,Colorado,8,2011,2011,,,852,5116796,16.7
,Colorado,8,2012,2012,Drug-induced causes,D,826,5187582,15.9
Total,Colorado,8,2012,2012,,,826,5187582,15.9
,Colorado,8,2013,2013,Drug-induced causes,D,864,5268367,16.4
Total,Colorado,8,2013,2013,,,864,5268367,16.4
,Colorado,8,2014,2014,Drug-induced causes,D,917,5355866,17.1
Total,Colorado,8,2014,2014,,,917,5355866,17.1
,Colorado,8,2015,2015,Drug-induced causes,D,893,5456574,16.4
Total,Colorado,8,2015,2015,,,893,5456574,16.4
,Colorado,8,2016,2016,Drug-induced causes,D,973,5540545,17.6
Total,Colorado,8,2016,2016,,,973,5540545,17.6
,Colorado,8,2017,2017,Drug-induced causes,D,1050,5607154,18.7
Total,Colorado,8,2017,2017,,,1050,5607154,18.7
,Colorado,8,2018,2018,Drug-induced causes,D,1038,5695564,18.2
Total,Colorado,8,2018,2018,,,1038,5695564,18.2
,Colorado,8,2019,2019,Drug-induced causes,D,1118,5758736,19.4
Total,Colorado,8,2019,2019,,,1118,5758736,19.4
,Colorado,8,2020,2020,Drug-induced causes,D,1536,5807719,26.4
Total,Colorado,8,2020,2020,,,1536,5807719,26.4
Total,Colorado,8,,,,,17076,110389320,15.5
,Connecticut,9,1999,1999,Drug-induced causes,D,330,3386401,9.7
Total,Connecticut,9,1999,1999,,,330,3386401,9.7
,Connecticut,9,2000,2000,Drug-induced causes,D,336,3405565,9.9
Total,Connecticut,9,2000,2000,,,336,3405565,9.9
,Connecticut,9,2001,2001,Drug-induced causes,D,326,3432835,9.5
Total,Connecticut,9,2001,2001,,,326,3432835,9.5
,Connecticut,9,2002,2002,Drug-induced causes,D,377,3458749,10.9
Total,Connecticut,9,2002,2002,,,377,3458749,10.9
,Connecticut,9,2003,2003,Drug-induced causes,D,338,3484336,9.7
Total,Connecticut,9,2003,2003,,,338,3484336,9.7
,Connecticut,9,2004,2004,Drug-induced causes,D,360,3496094,10.3
Total,Connecticut,9,2004,2004,,,360,3496094,10.3
,Connecticut,9,2005,2005,Drug-induced causes,D,352,3506956,10
Total,Connecticut,9,2005,2005,,,352,3506956,10
,Connecticut,9,2006,2006,Drug-induced causes,D,458,3517460,13
Total,Connecticut,9,2006,2006,,,458,3517460,13
,Connecticut,9,2007,2007,Drug-induced causes,D,444,3527270,12.6
Total,Connecticut,9,2007,2007,,,444,3527270,12.6
,Connecticut,9,2008,2008,Drug-induced causes,D,397,3545579,11.2
Total,Connecticut,9,2008,2008,,,397,3545579,11.2
,Connecticut,9,2009,2009,Drug-induced causes,D,397,3561807,11.1
Total,Connecticut,9,2009,2009,,,397,3561807,11.1
,Connecticut,9,2010,2010,Drug-induced causes,D,372,3574097,10.4
Total,Connecticut,9,2010,2010,,,372,3574097,10.4
,Connecticut,9,2011,2011,Drug-induced causes,D,416,3580709,11.6
Total,Connecticut,9,2011,2011,,,416,3580709,11.6
,Connecticut,9,2012,2012,Drug-induced causes,D,451,3590347,12.6
Total,Connecticut,9,2012,2012,,,451,3590347,12.6
,Connecticut,9,2013,2013,Drug-induced causes,D,600,3596080,16.7
Total,Connecticut,9,2013,2013,,,600,3596080,16.7
,Connecticut,9,2014,2014,Drug-induced causes,D,639,3596677,17.8
Total,Connecticut,9,2014,2014,,,639,3596677,17.8
,Connecticut,9,2015,2015,Drug-induced causes,D,827,3590886,23
Total,Connecticut,9,2015,2015,,,827,3590886,23
,Connecticut,9,2016,2016,Drug-induced causes,D,997,3576452,27.9
Total,Connecticut,9,2016,2016,,,997,3576452,27.9
,Connecticut,9,2017,2017,Drug-induced causes,D,1103,3588184,30.7
Total,Connecticut,9,2017,2017,,,1103,3588184,30.7
,Connecticut,9,2018,2018,Drug-induced causes,D,1105,3572665,30.9
Total,Connecticut,9,2018,2018,,,1105,3572665,30.9
,Connecticut,9,2019,2019,Drug-induced causes,D,1263,3565287,35.4
Total,Connecticut,9,2019,2019,,,1263,3565287,35.4
,Connecticut,9,2020,2020,Drug-induced causes,D,1434,3557006,40.3
Total,Connecticut,9,2020,2020,,,1434,3557006,40.3
Total,Connecticut,9,,,,,13322,77711442,17.1
,Delaware,10,1999,1999,Drug-induced causes,D,55,774990,7.1
Total,Delaware,10,1999,1999,,,55,774990,7.1
,Delaware,10,2000,2000,Drug-induced causes,D,60,783600,7.7
Total,Delaware,10,2000,2000,,,60,783600,7.7
,Delaware,10,2001,2001,Drug-induced causes,D,70,795699,8.8
Total,Delaware,10,2001,2001,,,70,795699,8.8
,Delaware,10,2002,2002,Drug-induced causes,D,85,806169,10.5
Total,Delaware,10,2002,2002,,,85,806169,10.5
,Delaware,10,2003,2003,Drug-induced causes,D,88,818003,10.8
Total,Delaware,10,2003,2003,,,88,818003,10.8
,Delaware,10,2004,2004,Drug-induced causes,D,92,830803,11.1
Total,Delaware,10,2004,2004,,,92,830803,11.1
,Delaware,10,2005,2005,Drug-induced causes,D,67,845150,7.9
Total,Delaware,10,2005,2005,,,67,845150,7.9
,Delaware,10,2006,2006,Drug-induced causes,D,83,859268,9.7
Total,Delaware,10,2006,2006,,,83,859268,9.7
,Delaware,10,2007,2007,Drug-induced causes,D,102,871749,11.7
Total,Delaware,10,2007,2007,,,102,871749,11.7
,Delaware,10,2008,2008,Drug-induced causes,D,125,883874,14.1
Total,Delaware,10,2008,2008,,,125,883874,14.1
,Delaware,10,2009,2009,Drug-induced causes,D,139,891730,15.6
Total,Delaware,10,2009,2009,,,139,891730,15.6
,Delaware,10,2010,2010,Drug-induced causes,D,147,897934,16.4
Total,Delaware,10,2010,2010,,,147,897934,16.4
,Delaware,10,2011,2011,Drug-induced causes,D,166,907135,18.3
Total,Delaware,10,2011,2011,,,166,907135,18.3
,Delaware,10,2012,2012,Drug-induced causes,D,150,917092,16.4
Total,Delaware,10,2012,2012,,,150,917092,16.4
,Delaware,10,2013,2013,Drug-induced causes,D,170,925749,18.4
Total,Delaware,10,2013,2013,,,170,925749,18.4
,Delaware,10,2014,2014,Drug-induced causes,D,204,935614,21.8
Total,Delaware,10,2014,2014,,,204,935614,21.8
,Delaware,10,2015,2015,Drug-induced causes,D,208,945934,22
Total,Delaware,10,2015,2015,,,208,945934,22
,Delaware,10,2016,2016,Drug-induced causes,D,288,952065,30.3
Total,Delaware,10,2016,2016,,,288,952065,30.3
,Delaware,10,2017,2017,Drug-induced causes,D,342,961939,35.6
Total,Delaware,10,2017,2017,,,342,961939,35.6
,Delaware,10,2018,2018,Drug-induced causes,D,409,967171,42.3
Total,Delaware,10,2018,2018,,,409,967171,42.3
,Delaware,10,2019,2019,Drug-induced causes,D,442,973764,45.4
Total,Delaware,10,2019,2019,,,442,973764,45.4
,Delaware,10,2020,2020,Drug-induced causes,D,448,986809,45.4
Total,Delaware,10,2020,2020,,,448,986809,45.4
Total,Delaware,10,,,,,3940,19532241,20.2
,District of Columbia,11,1999,1999,Drug-induced causes,D,55,570213,9.6
Total,District of Columbia,11,1999,1999,,,55,570213,9.6
,District of Columbia,11,2000,2000,Drug-induced causes,D,84,572059,14.7
Total,District of Columbia,11,2000,2000,,,84,572059,14.7
,District of Columbia,11,2001,2001,Drug-induced causes,D,111,574504,19.3
Total,District of Columbia,11,2001,2001,,,111,574504,19.3
,District of Columbia,11,2002,2002,Drug-induced causes,D,70,573158,12.2
Total,District of Columbia,11,2002,2002,,,70,573158,12.2
,District of Columbia,11,2003,2003,Drug-induced causes,D,119,568502,20.9
Total,District of Columbia,11,2003,2003,,,119,568502,20.9
,District of Columbia,11,2004,2004,Drug-induced causes,D,109,567754,19.2
Total,District of Columbia,11,2004,2004,,,109,567754,19.2
,District of Columbia,11,2005,2005,Drug-induced causes,D,94,567136,16.6
Total,District of Columbia,11,2005,2005,,,94,567136,16.6
,District of Columbia,11,2006,2006,Drug-induced causes,D,129,570681,22.6
Total,District of Columbia,11,2006,2006,,,129,570681,22.6
,District of Columbia,11,2007,2007,Drug-induced causes,D,90,574404,15.7
Total,District of Columbia,11,2007,2007,,,90,574404,15.7
,District of Columbia,11,2008,2008,Drug-induced causes,D,77,580236,13.3
Total,District of Columbia,11,2008,2008,,,77,580236,13.3
,District of Columbia,11,2009,2009,Drug-induced causes,D,58,592228,9.8
Total,District of Columbia,11,2009,2009,,,58,592228,9.8
,District of Columbia,11,2010,2010,Drug-induced causes,D,90,601723,15
Total,District of Columbia,11,2010,2010,,,90,601723,15
,District of Columbia,11,2011,2011,Drug-induced causes,D,94,617996,15.2
Total,District of Columbia,11,2011,2011,,,94,617996,15.2
,District of Columbia,11,2012,2012,Drug-induced causes,D,85,632323,13.4
Total,District of Columbia,11,2012,2012,,,85,632323,13.4
,District of Columbia,11,2013,2013,Drug-induced causes,D,113,646449,17.5
Total,District of Columbia,11,2013,2013,,,113,646449,17.5
,District of Columbia,11,2014,2014,Drug-induced causes,D,106,658893,16.1
Total,District of Columbia,11,2014,2014,,,106,658893,16.1
,District of Columbia,11,2015,2015,Drug-induced causes,D,130,672228,19.3
Total,District of Columbia,11,2015,2015,,,130,672228,19.3
,District of Columbia,11,2016,2016,Drug-induced causes,D,276,681170,40.5
Total,District of Columbia,11,2016,2016,,,276,681170,40.5
,District of Columbia,11,2017,2017,Drug-induced causes,D,322,693972,46.4
Total,District of Columbia,11,2017,2017,,,322,693972,46.4
,District of Columbia,11,2018,2018,Drug-induced causes,D,266,702455,37.9
Total,District of Columbia,11,2018,2018,,,266,702455,37.9
,District of Columbia,11,2019,2019,Drug-induced causes,D,319,705749,45.2
Total,District of Columbia,11,2019,2019,,,319,705749,45.2
,District of Columbia,11,2020,2020,Drug-induced causes,D,432,712816,60.6
Total,District of Columbia,11,2020,2020,,,432,712816,60.6
Total,District of Columbia,11,,,,,3229,13636649,23.7
,Florida,12,1999,1999,Drug-induced causes,D,1061,15759421,6.7
Total,Florida,12,1999,1999,,,1061,15759421,6.7
,Florida,12,2000,2000,Drug-induced causes,D,1237,15982378,7.7
Total,Florida,12,2000,2000,,,1237,15982378,7.7
,Florida,12,2001,2001,Drug-induced causes,D,1833,16356966,11.2
Total,Florida,12,2001,2001,,,1833,16356966,11.2
,Florida,12,2002,2002,Drug-induced causes,D,2041,16689370,12.2
Total,Florida,12,2002,2002,,,2041,16689370,12.2
,Florida,12,2003,2003,Drug-induced causes,D,2153,17004085,12.7
Total,Florida,12,2003,2003,,,2153,17004085,12.7
,Florida,12,2004,2004,Drug-induced causes,D,2408,17415318,13.8
Total,Florida,12,2004,2004,,,2408,17415318,13.8
,Florida,12,2005,2005,Drug-induced causes,D,2664,17842038,14.9
Total,Florida,12,2005,2005,,,2664,17842038,14.9
,Florida,12,2006,2006,Drug-induced causes,D,2928,18166990,16.1
Total,Florida,12,2006,2006,,,2928,18166990,16.1
,Florida,12,2007,2007,Drug-induced causes,D,2936,18367842,16
Total,Florida,12,2007,2007,,,2936,18367842,16
,Florida,12,2008,2008,Drug-induced causes,D,3097,18527305,16.7
Total,Florida,12,2008,2008,,,3097,18527305,16.7
,Florida,12,2009,2009,Drug-induced causes,D,3193,18652644,17.1
Total,Florida,12,2009,2009,,,3193,18652644,17.1
,Florida,12,2010,2010,Drug-induced causes,D,3181,18801310,16.9
Total,Florida,12,2010,2010,,,3181,18801310,16.9
,Florida,12,2011,2011,Drug-induced causes,D,3033,19057542,15.9
Total,Florida,12,2011,2011,,,3033,19057542,15.9
,Florida,12,2012,2012,Drug-induced causes,D,2697,19317568,14
Total,Florida,12,2012,2012,,,2697,19317568,14
,Florida,12,2013,2013,Drug-induced causes,D,2603,19552860,13.3
Total,Florida,12,2013,2013,,,2603,19552860,13.3
,Florida,12,2014,2014,Drug-induced causes,D,2804,19893297,14.1
Total,Florida,12,2014,2014,,,2804,19893297,14.1
,Florida,12,2015,2015,Drug-induced causes,D,3377,20271272,16.7
Total,Florida,12,2015,2015,,,3377,20271272,16.7
,Florida,12,2016,2016,Drug-induced causes,D,4963,20612439,24.1
Total,Florida,12,2016,2016,,,4963,20612439,24.1
,Florida,12,2017,2017,Drug-induced causes,D,5347,20984400,25.5
Total,Florida,12,2017,2017,,,5347,20984400,25.5
,Florida,12,2018,2018,Drug-induced causes,D,4928,21299325,23.1
