STATEFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
15,2004,Med_SA_fac,13.0,Hawaii,HI
16,2004,Med_SA_fac,20.0,Idaho,ID
17,2004,Med_SA_fac,248.0,Illinois,IL
18,2004,Med_SA_fac,170.0,Indiana,IN
19,2004,Med_SA_fac,80.0,Iowa,IA
20,2004,Med_SA_fac,88.0,Kansas,KS
21,2004,Med_SA_fac,109.0,Kentucky,KY
22,2004,Med_SA_fac,28.0,Louisiana,LA
23,2004,Med_SA_fac,144.0,Maine,ME
24,2004,Med_SA_fac,163.0,Maryland,MD
25,2004,Med_SA_fac,153.0,Massachusetts,MA
26,2004,Med_SA_fac,323.0,Michigan,MI
27,2004,Med_SA_fac,98.0,Minnesota,MN
28,2004,Med_SA_fac,60.0,Mississippi,MS
29,2004,Med_SA_fac,100.0,Missouri,MO
30,2004,Med_SA_fac,25.0,Montana,MT
31,2004,Med_SA_fac,46.0,Nebraska,NE
32,2004,Med_SA_fac,18.0,Nevada,NV
33,2004,Med_SA_fac,23.0,New Hampshire,NH
34,2004,Med_SA_fac,130.0,New Jersey,NJ
35,2004,Med_SA_fac,44.0,New Mexico,NM
36,2004,Med_SA_fac,797.0,New York,NY
37,2004,Med_SA_fac,129.0,North Carolina,NC
38,2004,Med_SA_fac,20.0,North Dakota,ND
39,2004,Med_SA_fac,340.0,Ohio,OH
40,2004,Med_SA_fac,41.0,Oklahoma,OK
41,2004,Med_SA_fac,111.0,Oregon,OR
42,2004,Med_SA_fac,254.0,Pennsylvania,PA
44,2004,Med_SA_fac,41.0,Rhode Island,RI
45,2004,Med_SA_fac,54.0,South Carolina,SC
46,2004,Med_SA_fac,21.0,South Dakota,SD
47,2004,Med_SA_fac,77.0,Tennessee,TN
48,2004,Med_SA_fac,199.0,Texas,TX
49,2004,Med_SA_fac,54.0,Utah,UT
50,2004,Med_SA_fac,27.0,Vermont,VT
51,2004,Med_SA_fac,41.0,Virginia,VA
53,2004,Med_SA_fac,150.0,Washington,WA
54,2004,Med_SA_fac,57.0,West Virginia,WV
55,2004,Med_SA_fac,151.0,Wisconsin,WI
56,2004,Med_SA_fac,30.0,Wyoming,WY
72,2004,Med_SA_fac,9.0,Puerto Rico,PR
00,2004,SMAT_fac,1027.0,United States,US
01,2004,SMAT_fac,18.0,Alabama,AL
02,2004,SMAT_fac,3.0,Alaska,AK
04,2004,SMAT_fac,25.0,Arizona,AZ
05,2004,SMAT_fac,2.0,Arkansas,AR
06,2004,SMAT_fac,116.0,California,CA
08,2004,SMAT_fac,10.0,Colorado,CO
09,2004,SMAT_fac,40.0,Connecticut,CT
10,2004,SMAT_fac,6.0,Delaware,DE
11,2004,SMAT_fac,10.0,District of Columbia,DC
12,2004,SMAT_fac,35.0,Florida,FL
13,2004,SMAT_fac,23.0,Georgia,GA
15,2004,SMAT_fac,3.0,Hawaii,HI
17,2004,SMAT_fac,52.0,Illinois,IL
18,2004,SMAT_fac,10.0,Indiana,IN
19,2004,SMAT_fac,2.0,Iowa,IA
20,2004,SMAT_fac,5.0,Kansas,KS
21,2004,SMAT_fac,9.0,Kentucky,KY
22,2004,SMAT_fac,13.0,Louisiana,LA
23,2004,SMAT_fac,5.0,Maine,ME
24,2004,SMAT_fac,47.0,Maryland,MD
25,2004,SMAT_fac,50.0,Massachusetts,MA
26,2004,SMAT_fac,29.0,Michigan,MI
27,2004,SMAT_fac,9.0,Minnesota,MN
29,2004,SMAT_fac,9.0,Missouri,MO
31,2004,SMAT_fac,1.0,Nebraska,NE
32,2004,SMAT_fac,10.0,Nevada,NV
33,2004,SMAT_fac,4.0,New Hampshire,NH
34,2004,SMAT_fac,32.0,New Jersey,NJ
35,2004,SMAT_fac,6.0,New Mexico,NM
36,2004,SMAT_fac,199.0,New York,NY
37,2004,SMAT_fac,22.0,North Carolina,NC
39,2004,SMAT_fac,11.0,Ohio,OH
40,2004,SMAT_fac,3.0,Oklahoma,OK
41,2004,SMAT_fac,11.0,Oregon,OR
42,2004,SMAT_fac,44.0,Pennsylvania,PA
44,2004,SMAT_fac,14.0,Rhode Island,RI
45,2004,SMAT_fac,9.0,South Carolina,SC
47,2004,SMAT_fac,6.0,Tennessee,TN
48,2004,SMAT_fac,64.0,Texas,TX
49,2004,SMAT_fac,6.0,Utah,UT
50,2004,SMAT_fac,2.0,Vermont,VT
51,2004,SMAT_fac,17.0,Virginia,VA
53,2004,SMAT_fac,15.0,Washington,WA
54,2004,SMAT_fac,3.0,West Virginia,WV
55,2004,SMAT_fac,10.0,Wisconsin,WI
72,2004,SMAT_fac,7.0,Puerto Rico,PR
00,2004,Med_SMAT_fac,644.0,United States,US
01,2004,Med_SMAT_fac,2.0,Alabama,AL
02,2004,Med_SMAT_fac,3.0,Alaska,AK
04,2004,Med_SMAT_fac,12.0,Arizona,AZ
06,2004,Med_SMAT_fac,79.0,California,CA
08,2004,Med_SMAT_fac,2.0,Colorado,CO
09,2004,Med_SMAT_fac,36.0,Connecticut,CT
10,2004,Med_SMAT_fac,4.0,Delaware,DE
11,2004,Med_SMAT_fac,6.0,District of Columbia,DC
12,2004,Med_SMAT_fac,10.0,Florida,FL
13,2004,Med_SMAT_fac,5.0,Georgia,GA
15,2004,Med_SMAT_fac,3.0,Hawaii,HI
17,2004,Med_SMAT_fac,24.0,Illinois,IL
18,2004,Med_SMAT_fac,3.0,Indiana,IN
19,2004,Med_SMAT_fac,1.0,Iowa,IA
21,2004,Med_SMAT_fac,1.0,Kentucky,KY
22,2004,Med_SMAT_fac,1.0,Louisiana,LA
23,2004,Med_SMAT_fac,5.0,Maine,ME
24,2004,Med_SMAT_fac,37.0,Maryland,MD
25,2004,Med_SMAT_fac,49.0,Massachusetts,MA
26,2004,Med_SMAT_fac,24.0,Michigan,MI
27,2004,Med_SMAT_fac,4.0,Minnesota,MN
29,2004,Med_SMAT_fac,1.0,Missouri,MO
32,2004,Med_SMAT_fac,9.0,Nevada,NV
33,2004,Med_SMAT_fac,3.0,New Hampshire,NH
34,2004,Med_SMAT_fac,26.0,New Jersey,NJ
35,2004,Med_SMAT_fac,5.0,New Mexico,NM
36,2004,Med_SMAT_fac,193.0,New York,NY
37,2004,Med_SMAT_fac,10.0,North Carolina,NC
39,2004,Med_SMAT_fac,9.0,Ohio,OH
41,2004,Med_SMAT_fac,6.0,Oregon,OR
42,2004,Med_SMAT_fac,32.0,Pennsylvania,PA
44,2004,Med_SMAT_fac,9.0,Rhode Island,RI
45,2004,Med_SMAT_fac,1.0,South Carolina,SC
48,2004,Med_SMAT_fac,5.0,Texas,TX
49,2004,Med_SMAT_fac,3.0,Utah,UT
50,2004,Med_SMAT_fac,2.0,Vermont,VT
53,2004,Med_SMAT_fac,9.0,Washington,WA
55,2004,Med_SMAT_fac,10.0,Wisconsin,WI
00,2004,TMAT_fac,0.0,United States,US
00,2004,Med_TMAT_fac,0.0,United States,US
00,2004,AMAT_fac,0.0,United States,US
00,2004,Med_AMAT_fac,0.0,United States,US
00,2004,HICVT_fac,11056.0,United States,US
01,2004,HICVT_fac,84.0,Alabama,AL
02,2004,HICVT_fac,50.0,Alaska,AK
04,2004,HICVT_fac,144.0,Arizona,AZ
05,2004,HICVT_fac,44.0,Arkansas,AR
06,2004,HICVT_fac,1547.0,California,CA
08,2004,HICVT_fac,370.0,Colorado,CO
09,2004,HICVT_fac,176.0,Connecticut,CT
10,2004,HICVT_fac,37.0,Delaware,DE
11,2004,HICVT_fac,46.0,District of Columbia,DC
12,2004,HICVT_fac,400.0,Florida,FL
13,2004,HICVT_fac,161.0,Georgia,GA
15,2004,HICVT_fac,78.0,Hawaii,HI
16,2004,HICVT_fac,66.0,Idaho,ID
17,2004,HICVT_fac,534.0,Illinois,IL
18,2004,HICVT_fac,281.0,Indiana,IN
19,2004,HICVT_fac,87.0,Iowa,IA
20,2004,HICVT_fac,176.0,Kansas,KS
21,2004,HICVT_fac,284.0,Kentucky,KY
22,2004,HICVT_fac,124.0,Louisiana,LA
23,2004,HICVT_fac,164.0,Maine,ME
24,2004,HICVT_fac,310.0,Maryland,MD
25,2004,HICVT_fac,229.0,Massachusetts,MA
26,2004,HICVT_fac,487.0,Michigan,MI
27,2004,HICVT_fac,226.0,Minnesota,MN
28,2004,HICVT_fac,79.0,Mississippi,MS
29,2004,HICVT_fac,167.0,Missouri,MO
30,2004,HICVT_fac,34.0,Montana,MT
31,2004,HICVT_fac,83.0,Nebraska,NE
32,2004,HICVT_fac,53.0,Nevada,NV
33,2004,HICVT_fac,43.0,New Hampshire,NH
34,2004,HICVT_fac,267.0,New Jersey,NJ
35,2004,HICVT_fac,59.0,New Mexico,NM
36,2004,HICVT_fac,960.0,New York,NY
37,2004,HICVT_fac,253.0,North Carolina,NC
38,2004,HICVT_fac,45.0,North Dakota,ND
39,2004,HICVT_fac,398.0,Ohio,OH
40,2004,HICVT_fac,119.0,Oklahoma,OK
41,2004,HICVT_fac,186.0,Oregon,OR
42,2004,HICVT_fac,368.0,Pennsylvania,PA
44,2004,HICVT_fac,49.0,Rhode Island,RI
45,2004,HICVT_fac,80.0,South Carolina,SC
46,2004,HICVT_fac,41.0,South Dakota,SD
47,2004,HICVT_fac,154.0,Tennessee,TN
48,2004,HICVT_fac,490.0,Texas,TX
49,2004,HICVT_fac,104.0,Utah,UT
50,2004,HICVT_fac,30.0,Vermont,VT
51,2004,HICVT_fac,118.0,Virginia,VA
53,2004,HICVT_fac,293.0,Washington,WA
54,2004,HICVT_fac,66.0,West Virginia,WV
55,2004,HICVT_fac,205.0,Wisconsin,WI
56,2004,HICVT_fac,39.0,Wyoming,WY
72,2004,HICVT_fac,168.0,Puerto Rico,PR
00,2004,Med_HICVT_fac,5749.0,United States,US
01,2004,Med_HICVT_fac,37.0,Alabama,AL
02,2004,Med_HICVT_fac,35.0,Alaska,AK
04,2004,Med_HICVT_fac,69.0,Arizona,AZ
05,2004,Med_HICVT_fac,11.0,Arkansas,AR
06,2004,Med_HICVT_fac,398.0,California,CA
08,2004,Med_HICVT_fac,104.0,Colorado,CO
09,2004,Med_HICVT_fac,128.0,Connecticut,CT
10,2004,Med_HICVT_fac,22.0,Delaware,DE
11,2004,Med_HICVT_fac,20.0,District of Columbia,DC
12,2004,Med_HICVT_fac,144.0,Florida,FL
13,2004,Med_HICVT_fac,95.0,Georgia,GA
15,2004,Med_HICVT_fac,13.0,Hawaii,HI
16,2004,Med_HICVT_fac,20.0,Idaho,ID
17,2004,Med_HICVT_fac,248.0,Illinois,IL
18,2004,Med_HICVT_fac,170.0,Indiana,IN
19,2004,Med_HICVT_fac,80.0,Iowa,IA
20,2004,Med_HICVT_fac,88.0,Kansas,KS
21,2004,Med_HICVT_fac,109.0,Kentucky,KY
22,2004,Med_HICVT_fac,28.0,Louisiana,LA
23,2004,Med_HICVT_fac,144.0,Maine,ME
24,2004,Med_HICVT_fac,163.0,Maryland,MD
25,2004,Med_HICVT_fac,153.0,Massachusetts,MA
26,2004,Med_HICVT_fac,323.0,Michigan,MI
27,2004,Med_HICVT_fac,98.0,Minnesota,MN
28,2004,Med_HICVT_fac,60.0,Mississippi,MS
29,2004,Med_HICVT_fac,100.0,Missouri,MO
30,2004,Med_HICVT_fac,25.0,Montana,MT
31,2004,Med_HICVT_fac,46.0,Nebraska,NE
32,2004,Med_HICVT_fac,18.0,Nevada,NV
33,2004,Med_HICVT_fac,23.0,New Hampshire,NH
34,2004,Med_HICVT_fac,130.0,New Jersey,NJ
35,2004,Med_HICVT_fac,44.0,New Mexico,NM
36,2004,Med_HICVT_fac,797.0,New York,NY
37,2004,Med_HICVT_fac,129.0,North Carolina,NC
38,2004,Med_HICVT_fac,20.0,North Dakota,ND
39,2004,Med_HICVT_fac,340.0,Ohio,OH
40,2004,Med_HICVT_fac,41.0,Oklahoma,OK
41,2004,Med_HICVT_fac,111.0,Oregon,OR
42,2004,Med_HICVT_fac,254.0,Pennsylvania,PA
44,2004,Med_HICVT_fac,41.0,Rhode Island,RI
45,2004,Med_HICVT_fac,54.0,South Carolina,SC
46,2004,Med_HICVT_fac,21.0,South Dakota,SD
47,2004,Med_HICVT_fac,77.0,Tennessee,TN
48,2004,Med_HICVT_fac,199.0,Texas,TX
49,2004,Med_HICVT_fac,54.0,Utah,UT
50,2004,Med_HICVT_fac,27.0,Vermont,VT
51,2004,Med_HICVT_fac,41.0,Virginia,VA
53,2004,Med_HICVT_fac,150.0,Washington,WA
54,2004,Med_HICVT_fac,57.0,West Virginia,WV
55,2004,Med_HICVT_fac,151.0,Wisconsin,WI
56,2004,Med_HICVT_fac,30.0,Wyoming,WY
72,2004,Med_HICVT_fac,9.0,Puerto Rico,PR
00,2004,pct_HICVT_fac,1.0,United States,US
01,2004,pct_HICVT_fac,1.0,Alabama,AL
02,2004,pct_HICVT_fac,1.0,Alaska,AK
04,2004,pct_HICVT_fac,1.0,Arizona,AZ
05,2004,pct_HICVT_fac,1.0,Arkansas,AR
06,2004,pct_HICVT_fac,1.0,California,CA
08,2004,pct_HICVT_fac,1.0,Colorado,CO
09,2004,pct_HICVT_fac,1.0,Connecticut,CT
10,2004,pct_HICVT_fac,1.0,Delaware,DE
11,2004,pct_HICVT_fac,1.0,District of Columbia,DC
12,2004,pct_HICVT_fac,1.0,Florida,FL
13,2004,pct_HICVT_fac,1.0,Georgia,GA
15,2004,pct_HICVT_fac,1.0,Hawaii,HI
16,2004,pct_HICVT_fac,1.0,Idaho,ID
17,2004,pct_HICVT_fac,1.0,Illinois,IL
18,2004,pct_HICVT_fac,1.0,Indiana,IN
19,2004,pct_HICVT_fac,1.0,Iowa,IA
20,2004,pct_HICVT_fac,1.0,Kansas,KS
21,2004,pct_HICVT_fac,1.0,Kentucky,KY
22,2004,pct_HICVT_fac,1.0,Louisiana,LA
23,2004,pct_HICVT_fac,1.0,Maine,ME
24,2004,pct_HICVT_fac,1.0,Maryland,MD
25,2004,pct_HICVT_fac,1.0,Massachusetts,MA
26,2004,pct_HICVT_fac,1.0,Michigan,MI
27,2004,pct_HICVT_fac,1.0,Minnesota,MN
28,2004,pct_HICVT_fac,1.0,Mississippi,MS
29,2004,pct_HICVT_fac,1.0,Missouri,MO
30,2004,pct_HICVT_fac,1.0,Montana,MT
31,2004,pct_HICVT_fac,1.0,Nebraska,NE
32,2004,pct_HICVT_fac,1.0,Nevada,NV
33,2004,pct_HICVT_fac,1.0,New Hampshire,NH
34,2004,pct_HICVT_fac,1.0,New Jersey,NJ
35,2004,pct_HICVT_fac,1.0,New Mexico,NM
36,2004,pct_HICVT_fac,1.0,New York,NY
37,2004,pct_HICVT_fac,1.0,North Carolina,NC
38,2004,pct_HICVT_fac,1.0,North Dakota,ND
39,2004,pct_HICVT_fac,1.0,Ohio,OH
40,2004,pct_HICVT_fac,1.0,Oklahoma,OK
41,2004,pct_HICVT_fac,1.0,Oregon,OR
42,2004,pct_HICVT_fac,1.0,Pennsylvania,PA
44,2004,pct_HICVT_fac,1.0,Rhode Island,RI
45,2004,pct_HICVT_fac,1.0,South Carolina,SC
46,2004,pct_HICVT_fac,1.0,South Dakota,SD
47,2004,pct_HICVT_fac,1.0,Tennessee,TN
48,2004,pct_HICVT_fac,1.0,Texas,TX
49,2004,pct_HICVT_fac,1.0,Utah,UT
50,2004,pct_HICVT_fac,1.0,Vermont,VT
51,2004,pct_HICVT_fac,1.0,Virginia,VA
53,2004,pct_HICVT_fac,1.0,Washington,WA
54,2004,pct_HICVT_fac,1.0,West Virginia,WV
55,2004,pct_HICVT_fac,1.0,Wisconsin,WI
56,2004,pct_HICVT_fac,1.0,Wyoming,WY
72,2004,pct_HICVT_fac,1.0,Puerto Rico,PR
00,2005,SA_fac,10775.0,United States,US
01,2005,SA_fac,84.0,Alabama,AL
02,2005,SA_fac,51.0,Alaska,AK
04,2005,SA_fac,137.0,Arizona,AZ
05,2005,SA_fac,37.0,Arkansas,AR
06,2005,SA_fac,1479.0,California,CA
08,2005,SA_fac,369.0,Colorado,CO
09,2005,SA_fac,165.0,Connecticut,CT
10,2005,SA_fac,37.0,Delaware,DE
11,2005,SA_fac,42.0,District of Columbia,DC
12,2005,SA_fac,458.0,Florida,FL
13,2005,SA_fac,165.0,Georgia,GA
15,2005,SA_fac,82.0,Hawaii,HI
16,2005,SA_fac,55.0,Idaho,ID
17,2005,SA_fac,527.0,Illinois,IL
18,2005,SA_fac,278.0,Indiana,IN
19,2005,SA_fac,86.0,Iowa,IA
20,2005,SA_fac,180.0,Kansas,KS
21,2005,SA_fac,266.0,Kentucky,KY
22,2005,SA_fac,112.0,Louisiana,LA
23,2005,SA_fac,167.0,Maine,ME
24,2005,SA_fac,299.0,Maryland,MD
25,2005,SA_fac,216.0,Massachusetts,MA
26,2005,SA_fac,460.0,Michigan,MI
27,2005,SA_fac,213.0,Minnesota,MN
28,2005,SA_fac,77.0,Mississippi,MS
29,2005,SA_fac,188.0,Missouri,MO
30,2005,SA_fac,33.0,Montana,MT
31,2005,SA_fac,86.0,Nebraska,NE
32,2005,SA_fac,55.0,Nevada,NV
33,2005,SA_fac,38.0,New Hampshire,NH
34,2005,SA_fac,281.0,New Jersey,NJ
35,2005,SA_fac,56.0,New Mexico,NM
36,2005,SA_fac,913.0,New York,NY
37,2005,SA_fac,254.0,North Carolina,NC
38,2005,SA_fac,49.0,North Dakota,ND
39,2005,SA_fac,366.0,Ohio,OH
40,2005,SA_fac,114.0,Oklahoma,OK
41,2005,SA_fac,183.0,Oregon,OR
42,2005,SA_fac,354.0,Pennsylvania,PA
44,2005,SA_fac,48.0,Rhode Island,RI
45,2005,SA_fac,74.0,South Carolina,SC
46,2005,SA_fac,49.0,South Dakota,SD
47,2005,SA_fac,144.0,Tennessee,TN
48,2005,SA_fac,442.0,Texas,TX
49,2005,SA_fac,97.0,Utah,UT
50,2005,SA_fac,29.0,Vermont,VT
51,2005,SA_fac,106.0,Virginia,VA
53,2005,SA_fac,336.0,Washington,WA
54,2005,SA_fac,62.0,West Virginia,WV
55,2005,SA_fac,195.0,Wisconsin,WI
56,2005,SA_fac,41.0,Wyoming,WY
72,2005,SA_fac,140.0,Puerto Rico,PR
00,2005,Med_SA_fac,5682.0,United States,US
01,2005,Med_SA_fac,39.0,Alabama,AL
02,2005,Med_SA_fac,33.0,Alaska,AK
04,2005,Med_SA_fac,62.0,Arizona,AZ
05,2005,Med_SA_fac,7.0,Arkansas,AR
06,2005,Med_SA_fac,415.0,California,CA
08,2005,Med_SA_fac,84.0,Colorado,CO
09,2005,Med_SA_fac,122.0,Connecticut,CT
10,2005,Med_SA_fac,23.0,Delaware,DE
11,2005,Med_SA_fac,21.0,District of Columbia,DC
12,2005,Med_SA_fac,165.0,Florida,FL
13,2005,Med_SA_fac,93.0,Georgia,GA
15,2005,Med_SA_fac,13.0,Hawaii,HI
16,2005,Med_SA_fac,19.0,Idaho,ID
17,2005,Med_SA_fac,250.0,Illinois,IL
18,2005,Med_SA_fac,159.0,Indiana,IN
19,2005,Med_SA_fac,81.0,Iowa,IA
20,2005,Med_SA_fac,100.0,Kansas,KS
21,2005,Med_SA_fac,102.0,Kentucky,KY
22,2005,Med_SA_fac,29.0,Louisiana,LA
23,2005,Med_SA_fac,147.0,Maine,ME
24,2005,Med_SA_fac,141.0,Maryland,MD
25,2005,Med_SA_fac,144.0,Massachusetts,MA
26,2005,Med_SA_fac,307.0,Michigan,MI
27,2005,Med_SA_fac,84.0,Minnesota,MN
28,2005,Med_SA_fac,60.0,Mississippi,MS
29,2005,Med_SA_fac,123.0,Missouri,MO
30,2005,Med_SA_fac,24.0,Montana,MT
31,2005,Med_SA_fac,67.0,Nebraska,NE
32,2005,Med_SA_fac,22.0,Nevada,NV
33,2005,Med_SA_fac,21.0,New Hampshire,NH
34,2005,Med_SA_fac,125.0,New Jersey,NJ
35,2005,Med_SA_fac,38.0,New Mexico,NM
36,2005,Med_SA_fac,761.0,New York,NY
37,2005,Med_SA_fac,156.0,North Carolina,NC
38,2005,Med_SA_fac,21.0,North Dakota,ND
39,2005,Med_SA_fac,316.0,Ohio,OH
40,2005,Med_SA_fac,41.0,Oklahoma,OK
41,2005,Med_SA_fac,116.0,Oregon,OR
42,2005,Med_SA_fac,268.0,Pennsylvania,PA
44,2005,Med_SA_fac,37.0,Rhode Island,RI
45,2005,Med_SA_fac,51.0,South Carolina,SC
46,2005,Med_SA_fac,28.0,South Dakota,SD
47,2005,Med_SA_fac,83.0,Tennessee,TN
48,2005,Med_SA_fac,174.0,Texas,TX
49,2005,Med_SA_fac,53.0,Utah,UT
50,2005,Med_SA_fac,26.0,Vermont,VT
51,2005,Med_SA_fac,35.0,Virginia,VA
53,2005,Med_SA_fac,167.0,Washington,WA
54,2005,Med_SA_fac,47.0,West Virginia,WV
55,2005,Med_SA_fac,149.0,Wisconsin,WI
56,2005,Med_SA_fac,31.0,Wyoming,WY
72,2005,Med_SA_fac,2.0,Puerto Rico,PR
00,2005,SMAT_fac,990.0,United States,US
01,2005,SMAT_fac,18.0,Alabama,AL
02,2005,SMAT_fac,3.0,Alaska,AK
04,2005,SMAT_fac,27.0,Arizona,AZ
05,2005,SMAT_fac,2.0,Arkansas,AR
06,2005,SMAT_fac,111.0,California,CA
08,2005,SMAT_fac,8.0,Colorado,CO
09,2005,SMAT_fac,35.0,Connecticut,CT
10,2005,SMAT_fac,4.0,Delaware,DE
11,2005,SMAT_fac,9.0,District of Columbia,DC
12,2005,SMAT_fac,37.0,Florida,FL
13,2005,SMAT_fac,24.0,Georgia,GA
15,2005,SMAT_fac,3.0,Hawaii,HI
17,2005,SMAT_fac,45.0,Illinois,IL
18,2005,SMAT_fac,11.0,Indiana,IN
19,2005,SMAT_fac,3.0,Iowa,IA
20,2005,SMAT_fac,6.0,Kansas,KS
21,2005,SMAT_fac,6.0,Kentucky,KY
22,2005,SMAT_fac,13.0,Louisiana,LA
23,2005,SMAT_fac,6.0,Maine,ME
24,2005,SMAT_fac,43.0,Maryland,MD
25,2005,SMAT_fac,45.0,Massachusetts,MA
26,2005,SMAT_fac,29.0,Michigan,MI
27,2005,SMAT_fac,9.0,Minnesota,MN
29,2005,SMAT_fac,12.0,Missouri,MO
31,2005,SMAT_fac,1.0,Nebraska,NE
32,2005,SMAT_fac,9.0,Nevada,NV
33,2005,SMAT_fac,5.0,New Hampshire,NH
34,2005,SMAT_fac,31.0,New Jersey,NJ
35,2005,SMAT_fac,4.0,New Mexico,NM
36,2005,SMAT_fac,179.0,New York,NY
37,2005,SMAT_fac,19.0,North Carolina,NC
39,2005,SMAT_fac,12.0,Ohio,OH
40,2005,SMAT_fac,6.0,Oklahoma,OK
41,2005,SMAT_fac,11.0,Oregon,OR
42,2005,SMAT_fac,42.0,Pennsylvania,PA
44,2005,SMAT_fac,16.0,Rhode Island,RI
45,2005,SMAT_fac,9.0,South Carolina,SC
47,2005,SMAT_fac,6.0,Tennessee,TN
48,2005,SMAT_fac,64.0,Texas,TX
49,2005,SMAT_fac,5.0,Utah,UT
50,2005,SMAT_fac,3.0,Vermont,VT
51,2005,SMAT_fac,16.0,Virginia,VA
53,2005,SMAT_fac,20.0,Washington,WA
54,2005,SMAT_fac,7.0,West Virginia,WV
55,2005,SMAT_fac,11.0,Wisconsin,WI
72,2005,SMAT_fac,5.0,Puerto Rico,PR
00,2005,Med_SMAT_fac,621.0,United States,US
01,2005,Med_SMAT_fac,2.0,Alabama,AL
02,2005,Med_SMAT_fac,3.0,Alaska,AK
04,2005,Med_SMAT_fac,12.0,Arizona,AZ
06,2005,Med_SMAT_fac,78.0,California,CA
08,2005,Med_SMAT_fac,1.0,Colorado,CO
09,2005,Med_SMAT_fac,33.0,Connecticut,CT
10,2005,Med_SMAT_fac,3.0,Delaware,DE
11,2005,Med_SMAT_fac,6.0,District of Columbia,DC
12,2005,Med_SMAT_fac,9.0,Florida,FL
13,2005,Med_SMAT_fac,5.0,Georgia,GA
15,2005,Med_SMAT_fac,3.0,Hawaii,HI
17,2005,Med_SMAT_fac,25.0,Illinois,IL
18,2005,Med_SMAT_fac,2.0,Indiana,IN
19,2005,Med_SMAT_fac,1.0,Iowa,IA
20,2005,Med_SMAT_fac,1.0,Kansas,KS
22,2005,Med_SMAT_fac,1.0,Louisiana,LA
23,2005,Med_SMAT_fac,6.0,Maine,ME
24,2005,Med_SMAT_fac,35.0,Maryland,MD
25,2005,Med_SMAT_fac,42.0,Massachusetts,MA
26,2005,Med_SMAT_fac,23.0,Michigan,MI
27,2005,Med_SMAT_fac,3.0,Minnesota,MN
29,2005,Med_SMAT_fac,5.0,Missouri,MO
31,2005,Med_SMAT_fac,1.0,Nebraska,NE
